Value1 Value2 Value3 
353;486;515
8;920;115
907;808;749
68;137;484
100;987;858
358;896;63
66;725;24
649;747;193
934;436;449
411;521;784
792;128;502
0;642;868
28;104;272
884;60;895
72;505;122
946;531;378
396;471;39
648;781;907
754;575;452
413;181;663
644;467;364
920;909;154
569;498;820
779;129;576
168;911;673
12;26;82
340;8;646
891;645;736
80;418;645
640;547;502
667;931;57
594;394;593
523;627;316
79;611;592
589;773;870
266;188;182
281;853;789
794;192;142
236;503;794
139;568;504
666;52;555
625;657;905
371;106;343
60;583;953
572;381;865
138;133;826
947;45;468
795;142;813
381;650;412
397;168;443
356;471;201
46;673;563
992;531;653
143;983;905
952;733;824
991;496;493
712;576;624
156;423;711
709;628;39
414;346;36
30;868;873
545;237;634
418;768;539
307;889;198
467;514;330
662;769;153
826;465;17
278;742;519
639;110;390
493;406;227
353;693;256
119;626;197
539;920;382
517;221;337
678;899;294
487;644;228
683;609;732
376;232;382
437;759;918
895;463;807
315;145;711
32;476;319
607;385;802
987;242;638
188;807;487
591;737;266
791;19;546
488;603;385
685;178;462
543;263;301
627;817;620
207;734;94
45;509;406
818;139;183
893;58;840
51;816;164
403;981;832
836;133;933
563;880;461
205;447;258
